text,label
"Laptop: Холодильник шумить вночі, не можна спати. Витрачені гроші.",negative
"Superb build quality, fast shipping, 100% recommend to everyone.",positive
"Excellent product, works perfectly from day one. Highly recommend!",positive
"Satisfactory performance overall, meets basic expectations.",neutral
"Найгірша покупка в моєму житті, шкодую що замовив.",negative
"Very disappointed, product does not match the description at all.",negative
"За такі гроші прийнятна якість, але є кращі варіанти.",neutral
"Very disappointed, product does not match the description at all.",negative
"Superb build quality, fast shipping, 100% recommend to everyone.",positive
"Tv: Не раджу нікому, обслуговування жахливе, товар бракований.",negative
Fridge: Неймовірно швидкий ноутбук за такі гроші — просто знахідка!,positive
"Laptop: Satisfactory performance overall, meets basic expectations.",neutral
"Купив ноутбук тиждень тому — повністю відповідає очікуванням, рекомендую!",positive
"Відмінний товар, дуже задоволений покупкою! Рекомендую всім друзям.",positive
"Дуже гарний телевізор, зображення чітке, звук потужний.",positive
Stopped working after one month. Awful customer service experience.,negative
"Розчарований повністю, товар не відповідає опису на сайті.",negative
"Laptop: Непогано за свою ціну, є певні недоліки але загалом нормально.",neutral
"Телевізор: Найгірша покупка в моєму житті, шкодую що замовив.",negative
"Холодильник шумить вночі, не можна спати. Витрачені гроші.",negative
"Fridge: Middle range quality, some minor issues but generally acceptable.",neutral
The fridge is quiet and energy efficient. Best purchase this year!,positive
"Ноутбук: Excellent product, works perfectly from day one. Highly recommend!",positive
"Холодильник: Задоволений на всі 100%, буду купувати тут ще раз.",positive
"Tv: Задоволений на всі 100%, буду купувати тут ще раз.",positive
Холодильник: Неймовірно швидкий ноутбук за такі гроші — просто знахідка!,positive
"Laptop overheats constantly, returned it after just one week.",negative
"Laptop: Жахлива якість, зламався через тиждень після покупки. Не рекомендую!",negative
"Телевізор: Average product for the price, nothing special but works fine.",neutral
"Middle range quality, some minor issues but generally acceptable.",neutral
Laptop: Неймовірно швидкий ноутбук за такі гроші — просто знахідка!,positive
"Fridge: Телевізор перестав вмикатись через місяць, жахливий сервіс.",negative
"Excellent product, works perfectly from day one. Highly recommend!",positive
Stopped working after one month. Awful customer service experience.,negative
"Tv: Чудова якість, швидка доставка, все як описано на сайті.",positive
"Пречудова техніка, працює бездоганно вже кілька місяців.",positive
"Ноутбук грівся до неможливості, повернув через тиждень.",negative
"Холодильник працює тихо, економить електроенергію, відмінна покупка.",positive
"Tv: Excellent product, works perfectly from day one. Highly recommend!",positive
"Ноутбук: Купив ноутбук тиждень тому — повністю відповідає очікуванням, рекомендую!",positive
"Amazing TV picture quality, very satisfied with this purchase.",positive
"Tv: Чудова якість, швидка доставка, все як описано на сайті.",positive
"Холодильник: Телевізор з неймовірною картинкою, дуже задоволений якістю зображення.",positive
"Superb build quality, fast shipping, 100% recommend to everyone.",positive
"Холодильник: Satisfactory performance overall, meets basic expectations.",neutral
"Tv: Superb build quality, fast shipping, 100% recommend to everyone.",positive
"Satisfactory performance overall, meets basic expectations.",neutral
"Fridge: Товар прийшов швидко, упакований добре, якість на висоті.",positive
"Задоволений на всі 100%, буду купувати тут ще раз.",positive
"Tv: Телевізор перестав вмикатись через місяць, жахливий сервіс.",negative
Телевізор: Неймовірно швидкий ноутбук за такі гроші — просто знахідка!,positive
"Tv: Розчарований повністю, товар не відповідає опису на сайті.",negative
"Fridge: Decent fridge, does the job, nothing to write home about.",neutral
"Телевізор з неймовірною картинкою, дуже задоволений якістю зображення.",positive
"Телевізор: Laptop overheats constantly, returned it after just one week.",negative
"Не раджу нікому, обслуговування жахливе, товар бракований.",negative
"Ноутбук: The fridge makes loud noise at night, completely unusable.",negative
"Холодильник: Розчарований повністю, товар не відповідає опису на сайті.",negative
Холодильник: Повернув через 3 дні — не працювало з коробки.,negative
"Average product for the price, nothing special but works fine.",neutral
"Ноутбук: Terrible quality, broke after a week. Total waste of money.",negative
"Холодильник: Холодильник шумить вночі, не можна спати. Витрачені гроші.",negative
Неймовірно швидкий ноутбук за такі гроші — просто знахідка!,positive
"Середня якість, нічого особливого, відповідає своїй вартості.",neutral
"Розчарований повністю, товар не відповідає опису на сайті.",negative
"Телевізор: Найгірша покупка в моєму житті, шкодую що замовив.",negative
"Пречудова техніка, працює бездоганно вже кілька місяців.",positive
Повернув через 3 дні — не працювало з коробки.,negative
"Телевізор: Excellent product, works perfectly from day one. Highly recommend!",positive
"Ноутбук: Не раджу нікому, обслуговування жахливе, товар бракований.",negative
"Ноутбук як ноутбук, без захоплення, але і без нарікань.",neutral
Неймовірно швидкий ноутбук за такі гроші — просто знахідка!,positive
"Ноутбук: Great quality laptop, fast delivery, exactly as described.",positive
"Телевізор: Купив ноутбук тиждень тому — повністю відповідає очікуванням, рекомендую!",positive
Телевізор: Do not buy this! Stopped functioning within days of purchase.,negative
"Холодильник працює тихо, економить електроенергію, відмінна покупка.",positive
"Холодильник: The fridge makes loud noise at night, completely unusable.",negative
Телевізор: The fridge is quiet and energy efficient. Best purchase this year!,positive
Неймовірно швидкий ноутбук за такі гроші — просто знахідка!,positive
Fridge: The fridge is quiet and energy efficient. Best purchase this year!,positive
"Товар прийшов швидко, упакований добре, якість на висоті.",positive
Do not buy this! Stopped functioning within days of purchase.,negative
"Decent fridge, does the job, nothing to write home about.",neutral
"Жахлива якість, зламався через тиждень після покупки. Не рекомендую!",negative
Холодильник: Неймовірно швидкий ноутбук за такі гроші — просто знахідка!,positive
Tv: Повернув через 3 дні — не працювало з коробки.,negative
"Fridge: Ноутбук грівся до неможливості, повернув через тиждень.",negative
"Terrible quality, broke after a week. Total waste of money.",negative
"Ноутбук грівся до неможливості, повернув через тиждень.",negative
"Satisfactory performance overall, meets basic expectations.",neutral
"Телевізор нормальний, не вражає але і не розчаровує.",neutral
"Ноутбук: Ноутбук грівся до неможливості, повернув через тиждень.",negative
"Very disappointed, product does not match the description at all.",negative
"Tv: Satisfactory performance overall, meets basic expectations.",neutral
"За такі гроші прийнятна якість, але є кращі варіанти.",neutral
"Tv: Жахлива якість, зламався через тиждень після покупки. Не рекомендую!",negative
"Great quality laptop, fast delivery, exactly as described.",positive
"Ноутбук: Не раджу нікому, обслуговування жахливе, товар бракований.",negative
"Жахлива якість, зламався через тиждень після покупки. Не рекомендую!",negative
"Decent fridge, does the job, nothing to write home about.",neutral
"Fridge: The fridge makes loud noise at night, completely unusable.",negative
"Холодильник: Товар прийшов швидко, упакований добре, якість на висоті.",positive
"Телевізор нормальний, не вражає але і не розчаровує.",neutral
"Laptop: Розчарований повністю, товар не відповідає опису на сайті.",negative
"Задоволений на всі 100%, буду купувати тут ще раз.",positive
Laptop: The fridge is quiet and energy efficient. Best purchase this year!,positive
"Fridge: Холодильник шумить вночі, не можна спати. Витрачені гроші.",negative
"Ноутбук: Не раджу нікому, обслуговування жахливе, товар бракований.",negative
"Холодильник: Very disappointed, product does not match the description at all.",negative
"Не раджу нікому, обслуговування жахливе, товар бракований.",negative
"Холодильник: Ноутбук грівся до неможливості, повернув через тиждень.",negative
"Холодильник: Great quality laptop, fast delivery, exactly as described.",positive
"Холодильник: Жахлива якість, зламався через тиждень після покупки. Не рекомендую!",negative
"Fridge: Excellent product, works perfectly from day one. Highly recommend!",positive
Повернув через 3 дні — не працювало з коробки.,negative
"Телевізор: Товар прийшов швидко, упакований добре, якість на висоті.",positive
Tv: Stopped working after one month. Awful customer service experience.,negative
"Не раджу нікому, обслуговування жахливе, товар бракований.",negative
"Excellent product, works perfectly from day one. Highly recommend!",positive
"Laptop: Ноутбук грівся до неможливості, повернув через тиждень.",negative
"Terrible quality, broke after a week. Total waste of money.",negative
Fridge: Повернув через 3 дні — не працювало з коробки.,negative
"Телевізор: Excellent product, works perfectly from day one. Highly recommend!",positive
Do not buy this! Stopped functioning within days of purchase.,negative
"За такі гроші прийнятна якість, але є кращі варіанти.",neutral
"Розчарований повністю, товар не відповідає опису на сайті.",negative
"Ноутбук: Середня якість, нічого особливого, відповідає своїй вартості.",neutral
"The fridge makes loud noise at night, completely unusable.",negative
"Superb build quality, fast shipping, 100% recommend to everyone.",positive
Tv: The fridge is quiet and energy efficient. Best purchase this year!,positive
"Laptop: Задоволений на всі 100%, буду купувати тут ще раз.",positive
"Найгірша покупка в моєму житті, шкодую що замовив.",negative
Телевізор: Stopped working after one month. Awful customer service experience.,negative
"Телевізор з неймовірною картинкою, дуже задоволений якістю зображення.",positive
"Fridge: Laptop overheats constantly, returned it after just one week.",negative
"Холодильник: Superb build quality, fast shipping, 100% recommend to everyone.",positive
"Телевізор з неймовірною картинкою, дуже задоволений якістю зображення.",positive
"Холодильник: Superb build quality, fast shipping, 100% recommend to everyone.",positive
"Найгірша покупка в моєму житті, шкодую що замовив.",negative
"Холодильник: Купив ноутбук тиждень тому — повністю відповідає очікуванням, рекомендую!",positive
"Laptop: Middle range quality, some minor issues but generally acceptable.",neutral
"Ноутбук: Laptop overheats constantly, returned it after just one week.",negative
"Excellent product, works perfectly from day one. Highly recommend!",positive
"Розчарований повністю, товар не відповідає опису на сайті.",negative
"Холодильник шумить вночі, не можна спати. Витрачені гроші.",negative
"Excellent product, works perfectly from day one. Highly recommend!",positive
"Середня якість, нічого особливого, відповідає своїй вартості.",neutral
"Great quality laptop, fast delivery, exactly as described.",positive
"Купив ноутбук тиждень тому — повністю відповідає очікуванням, рекомендую!",positive
"Телевізор: Відмінний товар, дуже задоволений покупкою! Рекомендую всім друзям.",positive
"Great quality laptop, fast delivery, exactly as described.",positive
"Tv: Laptop overheats constantly, returned it after just one week.",negative
"Laptop: Середня якість, нічого особливого, відповідає своїй вартості.",neutral
"Fridge: Товар прийшов швидко, упакований добре, якість на висоті.",positive
"Laptop overheats constantly, returned it after just one week.",negative
"Непогано за свою ціну, є певні недоліки але загалом нормально.",neutral
Неймовірно швидкий ноутбук за такі гроші — просто знахідка!,positive
"Fridge: За такі гроші прийнятна якість, але є кращі варіанти.",neutral
Laptop: Повернув через 3 дні — не працювало з коробки.,negative
"Fridge: Холодильник шумить вночі, не можна спати. Витрачені гроші.",negative
"Excellent product, works perfectly from day one. Highly recommend!",positive
"Laptop: The fridge makes loud noise at night, completely unusable.",negative
"Ноутбук: Middle range quality, some minor issues but generally acceptable.",neutral
"Excellent product, works perfectly from day one. Highly recommend!",positive
"Телевізор з неймовірною картинкою, дуже задоволений якістю зображення.",positive
"Average product for the price, nothing special but works fine.",neutral
"Tv: Decent fridge, does the job, nothing to write home about.",neutral
"Ноутбук: Terrible quality, broke after a week. Total waste of money.",negative
"Ноутбук: Чудова якість, швидка доставка, все як описано на сайті.",positive
Повернув через 3 дні — не працювало з коробки.,negative
"Ноутбук як ноутбук, без захоплення, але і без нарікань.",neutral
"Ноутбук: Very disappointed, product does not match the description at all.",negative
Неймовірно швидкий ноутбук за такі гроші — просто знахідка!,positive
"Laptop: The fridge makes loud noise at night, completely unusable.",negative
"Tv: Чудова якість, швидка доставка, все як описано на сайті.",positive
"Холодильник: Superb build quality, fast shipping, 100% recommend to everyone.",positive
"Middle range quality, some minor issues but generally acceptable.",neutral
Laptop: Do not buy this! Stopped functioning within days of purchase.,negative
"Tv: Amazing TV picture quality, very satisfied with this purchase.",positive
"Ноутбук: Чудова якість, швидка доставка, все як описано на сайті.",positive
"Телевізор: Телевізор перестав вмикатись через місяць, жахливий сервіс.",negative
"Холодильник: Пречудова техніка, працює бездоганно вже кілька місяців.",positive
"Terrible quality, broke after a week. Total waste of money.",negative
"Телевізор з неймовірною картинкою, дуже задоволений якістю зображення.",positive
"Купив ноутбук тиждень тому — повністю відповідає очікуванням, рекомендую!",positive
"Холодильник шумить вночі, не можна спати. Витрачені гроші.",negative
"Absolutely horrible product, requested refund immediately.",negative
"Laptop: Absolutely horrible product, requested refund immediately.",negative
"Tv: Чудова якість, швидка доставка, все як описано на сайті.",positive
"Middle range quality, some minor issues but generally acceptable.",neutral
"Fridge: Very disappointed, product does not match the description at all.",negative
"Amazing TV picture quality, very satisfied with this purchase.",positive
"The fridge makes loud noise at night, completely unusable.",negative
"Телевізор з неймовірною картинкою, дуже задоволений якістю зображення.",positive
"Fridge: Найгірша покупка в моєму житті, шкодую що замовив.",negative
"Телевізор з неймовірною картинкою, дуже задоволений якістю зображення.",positive
"Ноутбук: Купив ноутбук тиждень тому — повністю відповідає очікуванням, рекомендую!",positive
"Laptop: Телевізор нормальний, не вражає але і не розчаровує.",neutral
"Laptop: Superb build quality, fast shipping, 100% recommend to everyone.",positive
"Tv: Розчарований повністю, товар не відповідає опису на сайті.",negative
"Great quality laptop, fast delivery, exactly as described.",positive
Fridge: The fridge is quiet and energy efficient. Best purchase this year!,positive
"Fridge: Пречудова техніка, працює бездоганно вже кілька місяців.",positive
Повернув через 3 дні — не працювало з коробки.,negative
"Laptop: Товар прийшов швидко, упакований добре, якість на висоті.",positive
"Ноутбук: Холодильник шумить вночі, не можна спати. Витрачені гроші.",negative
"За такі гроші прийнятна якість, але є кращі варіанти.",neutral
"Телевізор: Чудова якість, швидка доставка, все як описано на сайті.",positive
Неймовірно швидкий ноутбук за такі гроші — просто знахідка!,positive
"Холодильник: Amazing TV picture quality, very satisfied with this purchase.",positive
"Задоволений на всі 100%, буду купувати тут ще раз.",positive
"Холодильник: Холодильник шумить вночі, не можна спати. Витрачені гроші.",negative
"Great quality laptop, fast delivery, exactly as described.",positive
"Decent fridge, does the job, nothing to write home about.",neutral
"Decent fridge, does the job, nothing to write home about.",neutral
"Ноутбук: Телевізор перестав вмикатись через місяць, жахливий сервіс.",negative
"Холодильник: Amazing TV picture quality, very satisfied with this purchase.",positive
"The fridge makes loud noise at night, completely unusable.",negative
"Купив ноутбук тиждень тому — повністю відповідає очікуванням, рекомендую!",positive
"Дуже гарний телевізор, зображення чітке, звук потужний.",positive
"Tv: Чудова якість, швидка доставка, все як описано на сайті.",positive
"Телевізор з неймовірною картинкою, дуже задоволений якістю зображення.",positive
Повернув через 3 дні — не працювало з коробки.,negative
"Телевізор перестав вмикатись через місяць, жахливий сервіс.",negative
"Телевізор нормальний, не вражає але і не розчаровує.",neutral
"Absolutely horrible product, requested refund immediately.",negative
"Холодильник: Дуже гарний телевізор, зображення чітке, звук потужний.",positive
"Ноутбук: За такі гроші прийнятна якість, але є кращі варіанти.",neutral
"Ноутбук: Найгірша покупка в моєму житті, шкодую що замовив.",negative
"Ноутбук: Телевізор перестав вмикатись через місяць, жахливий сервіс.",negative
"Товар прийшов швидко, упакований добре, якість на висоті.",positive
"Непогано за свою ціну, є певні недоліки але загалом нормально.",neutral
"Average product for the price, nothing special but works fine.",neutral
"Laptop overheats constantly, returned it after just one week.",negative
"Tv: Very disappointed, product does not match the description at all.",negative
"Ноутбук: За такі гроші прийнятна якість, але є кращі варіанти.",neutral
"Tv: Laptop overheats constantly, returned it after just one week.",negative
"Middle range quality, some minor issues but generally acceptable.",neutral
"Tv: Ноутбук як ноутбук, без захоплення, але і без нарікань.",neutral
"Average product for the price, nothing special but works fine.",neutral
"Холодильник працює тихо, економить електроенергію, відмінна покупка.",positive
Повернув через 3 дні — не працювало з коробки.,negative
Повернув через 3 дні — не працювало з коробки.,negative
"Холодильник: Холодильник шумить вночі, не можна спати. Витрачені гроші.",negative
"За такі гроші прийнятна якість, але є кращі варіанти.",neutral
"Amazing TV picture quality, very satisfied with this purchase.",positive
"Ноутбук грівся до неможливості, повернув через тиждень.",negative
"Телевізор з неймовірною картинкою, дуже задоволений якістю зображення.",positive
"Ноутбук: Superb build quality, fast shipping, 100% recommend to everyone.",positive
"Laptop: Задоволений на всі 100%, буду купувати тут ще раз.",positive
"Fridge: Жахлива якість, зламався через тиждень після покупки. Не рекомендую!",negative
"Tv: Холодильник працює тихо, економить електроенергію, відмінна покупка.",positive
Телевізор: The fridge is quiet and energy efficient. Best purchase this year!,positive
"Непогано за свою ціну, є певні недоліки але загалом нормально.",neutral
"Телевізор: Задоволений на всі 100%, буду купувати тут ще раз.",positive
"Laptop: Great quality laptop, fast delivery, exactly as described.",positive
"Ноутбук: Decent fridge, does the job, nothing to write home about.",neutral
"Ноутбук грівся до неможливості, повернув через тиждень.",negative
"Товар прийшов швидко, упакований добре, якість на висоті.",positive
"Товар прийшов швидко, упакований добре, якість на висоті.",positive
The fridge is quiet and energy efficient. Best purchase this year!,positive
"Ноутбук: Amazing TV picture quality, very satisfied with this purchase.",positive
"Телевізор: Absolutely horrible product, requested refund immediately.",negative
Телевізор: The fridge is quiet and energy efficient. Best purchase this year!,positive
"Середня якість, нічого особливого, відповідає своїй вартості.",neutral
"Superb build quality, fast shipping, 100% recommend to everyone.",positive
"Дуже гарний телевізор, зображення чітке, звук потужний.",positive
"Жахлива якість, зламався через тиждень після покупки. Не рекомендую!",negative
"Товар прийшов швидко, упакований добре, якість на висоті.",positive
Неймовірно швидкий ноутбук за такі гроші — просто знахідка!,positive
"Tv: The fridge makes loud noise at night, completely unusable.",negative
"Жахлива якість, зламався через тиждень після покупки. Не рекомендую!",negative
"Tv: Розчарований повністю, товар не відповідає опису на сайті.",negative
"Телевізор: Найгірша покупка в моєму житті, шкодую що замовив.",negative
"Непогано за свою ціну, є певні недоліки але загалом нормально.",neutral
"Tv: Excellent product, works perfectly from day one. Highly recommend!",positive
"Телевізор перестав вмикатись через місяць, жахливий сервіс.",negative
"Телевізор: Great quality laptop, fast delivery, exactly as described.",positive
"Fridge: Дуже гарний телевізор, зображення чітке, звук потужний.",positive
"Холодильник: Great quality laptop, fast delivery, exactly as described.",positive
"Жахлива якість, зламався через тиждень після покупки. Не рекомендую!",negative
"Laptop: Не раджу нікому, обслуговування жахливе, товар бракований.",negative
"Нормальна техніка без особливих вражень, можна брати.",neutral
"Ноутбук: Average product for the price, nothing special but works fine.",neutral
"Tv: Чудова якість, швидка доставка, все як описано на сайті.",positive
Ноутбук: The fridge is quiet and energy efficient. Best purchase this year!,positive
"Холодильник: The fridge makes loud noise at night, completely unusable.",negative
"Дуже гарний телевізор, зображення чітке, звук потужний.",positive
"Fridge: Не раджу нікому, обслуговування жахливе, товар бракований.",negative
"Absolutely horrible product, requested refund immediately.",negative
"Телевізор нормальний, не вражає але і не розчаровує.",neutral
Do not buy this! Stopped functioning within days of purchase.,negative
"Телевізор: Середня якість, нічого особливого, відповідає своїй вартості.",neutral
"Телевізор: Жахлива якість, зламався через тиждень після покупки. Не рекомендую!",negative
"Відмінний товар, дуже задоволений покупкою! Рекомендую всім друзям.",positive
"Холодильник: Не раджу нікому, обслуговування жахливе, товар бракований.",negative
"Пречудова техніка, працює бездоганно вже кілька місяців.",positive
"Fridge: За такі гроші прийнятна якість, але є кращі варіанти.",neutral
"Tv: The fridge makes loud noise at night, completely unusable.",negative
"Ноутбук як ноутбук, без захоплення, але і без нарікань.",neutral
"Холодильник: Laptop overheats constantly, returned it after just one week.",negative
"Ноутбук: Телевізор нормальний, не вражає але і не розчаровує.",neutral
"The fridge makes loud noise at night, completely unusable.",negative
"Excellent product, works perfectly from day one. Highly recommend!",positive
"Ноутбук: Розчарований повністю, товар не відповідає опису на сайті.",negative
"Fridge: Middle range quality, some minor issues but generally acceptable.",neutral
"Телевізор: Satisfactory performance overall, meets basic expectations.",neutral
"Fridge: Superb build quality, fast shipping, 100% recommend to everyone.",positive
"Terrible quality, broke after a week. Total waste of money.",negative
"The fridge makes loud noise at night, completely unusable.",negative
"Ноутбук: Excellent product, works perfectly from day one. Highly recommend!",positive
"Decent fridge, does the job, nothing to write home about.",neutral
"Купив ноутбук тиждень тому — повністю відповідає очікуванням, рекомендую!",positive
"Пречудова техніка, працює бездоганно вже кілька місяців.",positive
Stopped working after one month. Awful customer service experience.,negative
"Terrible quality, broke after a week. Total waste of money.",negative
"Fridge: Ноутбук грівся до неможливості, повернув через тиждень.",negative
"Телевізор перестав вмикатись через місяць, жахливий сервіс.",negative
"Холодильник: Middle range quality, some minor issues but generally acceptable.",neutral
"За такі гроші прийнятна якість, але є кращі варіанти.",neutral
"Телевізор: Товар прийшов швидко, упакований добре, якість на висоті.",positive
"Laptop: Відмінний товар, дуже задоволений покупкою! Рекомендую всім друзям.",positive
"Відмінний товар, дуже задоволений покупкою! Рекомендую всім друзям.",positive
Холодильник: The fridge is quiet and energy efficient. Best purchase this year!,positive
Ноутбук: The fridge is quiet and energy efficient. Best purchase this year!,positive
"Middle range quality, some minor issues but generally acceptable.",neutral
Телевізор: Stopped working after one month. Awful customer service experience.,negative
"Middle range quality, some minor issues but generally acceptable.",neutral
Ноутбук: Повернув через 3 дні — не працювало з коробки.,negative
Stopped working after one month. Awful customer service experience.,negative
"Tv: Decent fridge, does the job, nothing to write home about.",neutral
"Laptop: Very disappointed, product does not match the description at all.",negative
"Fridge: Холодильник шумить вночі, не можна спати. Витрачені гроші.",negative
"Телевізор нормальний, не вражає але і не розчаровує.",neutral
Телевізор: Do not buy this! Stopped functioning within days of purchase.,negative
"Задоволений на всі 100%, буду купувати тут ще раз.",positive
"Ноутбук: За такі гроші прийнятна якість, але є кращі варіанти.",neutral
"Холодильник: Непогано за свою ціну, є певні недоліки але загалом нормально.",neutral
"Розчарований повністю, товар не відповідає опису на сайті.",negative
Повернув через 3 дні — не працювало з коробки.,negative
"Телевізор: Купив ноутбук тиждень тому — повністю відповідає очікуванням, рекомендую!",positive
"Satisfactory performance overall, meets basic expectations.",neutral
"Very disappointed, product does not match the description at all.",negative
"Непогано за свою ціну, є певні недоліки але загалом нормально.",neutral
"Decent fridge, does the job, nothing to write home about.",neutral
"Laptop overheats constantly, returned it after just one week.",negative
"Нормальна техніка без особливих вражень, можна брати.",neutral
"Розчарований повністю, товар не відповідає опису на сайті.",negative
"Задоволений на всі 100%, буду купувати тут ще раз.",positive
"Ноутбук: The fridge makes loud noise at night, completely unusable.",negative
"Телевізор: Пречудова техніка, працює бездоганно вже кілька місяців.",positive
Tv: Do not buy this! Stopped functioning within days of purchase.,negative
"Laptop: Непогано за свою ціну, є певні недоліки але загалом нормально.",neutral
"Холодильник: Absolutely horrible product, requested refund immediately.",negative
"Жахлива якість, зламався через тиждень після покупки. Не рекомендую!",negative
Телевізор: Неймовірно швидкий ноутбук за такі гроші — просто знахідка!,positive
"Телевізор перестав вмикатись через місяць, жахливий сервіс.",negative
Неймовірно швидкий ноутбук за такі гроші — просто знахідка!,positive
"Laptop: Ноутбук як ноутбук, без захоплення, але і без нарікань.",neutral
"Жахлива якість, зламався через тиждень після покупки. Не рекомендую!",negative
"Superb build quality, fast shipping, 100% recommend to everyone.",positive
"Satisfactory performance overall, meets basic expectations.",neutral
Stopped working after one month. Awful customer service experience.,negative
"Laptop: Terrible quality, broke after a week. Total waste of money.",negative
"Холодильник: Great quality laptop, fast delivery, exactly as described.",positive
"Середня якість, нічого особливого, відповідає своїй вартості.",neutral
"Decent fridge, does the job, nothing to write home about.",neutral
"Телевізор нормальний, не вражає але і не розчаровує.",neutral
"Ноутбук як ноутбук, без захоплення, але і без нарікань.",neutral
"Laptop: Середня якість, нічого особливого, відповідає своїй вартості.",neutral
"Телевізор з неймовірною картинкою, дуже задоволений якістю зображення.",positive
"Телевізор: Decent fridge, does the job, nothing to write home about.",neutral
"Tv: Телевізор з неймовірною картинкою, дуже задоволений якістю зображення.",positive
"Amazing TV picture quality, very satisfied with this purchase.",positive
"Холодильник: Пречудова техніка, працює бездоганно вже кілька місяців.",positive
"Телевізор нормальний, не вражає але і не розчаровує.",neutral
"Найгірша покупка в моєму житті, шкодую що замовив.",negative
"Ноутбук: Нормальна техніка без особливих вражень, можна брати.",neutral
"Середня якість, нічого особливого, відповідає своїй вартості.",neutral
"Terrible quality, broke after a week. Total waste of money.",negative
"Непогано за свою ціну, є певні недоліки але загалом нормально.",neutral
"Ноутбук: Чудова якість, швидка доставка, все як описано на сайті.",positive
"Fridge: Ноутбук як ноутбук, без захоплення, але і без нарікань.",neutral
"Дуже гарний телевізор, зображення чітке, звук потужний.",positive
Fridge: Неймовірно швидкий ноутбук за такі гроші — просто знахідка!,positive
"Tv: Excellent product, works perfectly from day one. Highly recommend!",positive
"Tv: Middle range quality, some minor issues but generally acceptable.",neutral
"Нормальна техніка без особливих вражень, можна брати.",neutral
"Terrible quality, broke after a week. Total waste of money.",negative
"Fridge: Задоволений на всі 100%, буду купувати тут ще раз.",positive
"Найгірша покупка в моєму житті, шкодую що замовив.",negative
"Телевізор: Нормальна техніка без особливих вражень, можна брати.",neutral
